requirement,priority
Preserve checkout,high
Expire after 30 days,medium
row 3,low
row 4,low
row 5,low
row 6,low
row 7,low
row 8,low
row 9,low
row 10,low
row 11,low
row 12,low
row 13,low
row 14,low
row 15,low
row 16,low
row 17,low
row 18,low
row 19,low
row 20,low
row 21,low
row 22,low
row 23,low
row 24,low
row 25,low
row 26,low
row 27,low
row 28,low
row 29,low
row 30,low
row 31,low
row 32,low
row 33,low
row 34,low
row 35,low
row 36,low
row 37,low
row 38,low
row 39,low
row 40,low
row 41,low
row 42,low
row 43,low
row 44,low
row 45,low
row 46,low
row 47,low
row 48,low
row 49,low
row 50,low
row 51,low
row 52,low
row 53,low
row 54,low
row 55,low
row 56,low
row 57,low
row 58,low
row 59,low
row 60,low
row 61,low
row 62,low
row 63,low
row 64,low
row 65,low
row 66,low
row 67,low
row 68,low
row 69,low
row 70,low
row 71,low
row 72,low
row 73,low
row 74,low
row 75,low
row 76,low
row 77,low
row 78,low
row 79,low
row 80,low
row 81,low
row 82,low
row 83,low
row 84,low
row 85,low
row 86,low
row 87,low
row 88,low
row 89,low
row 90,low
row 91,low
row 92,low
row 93,low
row 94,low
row 95,low
row 96,low
row 97,low
row 98,low
row 99,low
row 100,low
row 101,low
row 102,low
row 103,low
row 104,low
row 105,low
row 106,low
row 107,low
row 108,low
row 109,low
row 110,low
row 111,low
row 112,low
row 113,low
row 114,low
row 115,low
row 116,low
row 117,low
row 118,low
row 119,low
row 120,low
row 121,low
row 122,low
row 123,low
row 124,low
row 125,low
row 126,low
row 127,low
row 128,low
row 129,low
row 130,low
row 131,low
row 132,low
row 133,low
row 134,low
row 135,low
row 136,low
row 137,low
row 138,low
row 139,low
row 140,low
row 141,low
row 142,low
row 143,low
row 144,low
row 145,low
row 146,low
row 147,low
row 148,low
row 149,low
row 150,low
row 151,low
row 152,low
row 153,low
row 154,low
row 155,low
row 156,low
row 157,low
row 158,low
row 159,low
row 160,low
row 161,low
row 162,low
row 163,low
row 164,low
row 165,low
row 166,low
row 167,low
row 168,low
row 169,low
row 170,low
row 171,low
row 172,low
row 173,low
row 174,low
row 175,low
row 176,low
row 177,low
row 178,low
row 179,low
row 180,low
row 181,low
row 182,low
row 183,low
row 184,low
row 185,low
row 186,low
row 187,low
row 188,low
row 189,low
row 190,low
row 191,low
row 192,low
row 193,low
row 194,low
row 195,low
row 196,low
row 197,low
row 198,low
row 199,low
row 200,low
row 201,low
row 202,low
row 203,low
row 204,low
row 205,low
row 206,low
row 207,low
row 208,low
row 209,low
row 210,low
row 211,low
row 212,low
row 213,low
row 214,low
row 215,low
row 216,low
row 217,low
row 218,low
row 219,low
row 220,low
row 221,low
row 222,low
row 223,low
row 224,low
row 225,low
row 226,low
row 227,low
row 228,low
row 229,low
row 230,low
row 231,low
row 232,low
row 233,low
row 234,low
row 235,low
row 236,low
row 237,low
row 238,low
row 239,low
row 240,low
row 241,low
row 242,low
row 243,low
row 244,low
row 245,low
row 246,low
row 247,low
row 248,low
row 249,low
row 250,low
row 251,low
row 252,low
